rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,average_cost_state,average_early_career,average_mid_career
3,Alaska Pacific University,Alaska,AK,Private,4 Year,28130,28130,50300,90000,67,6,32458.33333,54600,95500
1,University of Alaska Fairbanks,Alaska,AK,Public,4 Year,17017,33187,56000,101000,57,10,32458.33333,54600,
2,University of Alaska Anchorage,Alaska,AK,Public,4 Year,19888,36058,57500,103900,59,45,32458.33333,54600,
24,Amridge University,Alabama,AL,Private,4 Year,6900,6900,35700,65900,NA,0,29861.5,48186.36364,88345.45455
8,University of Alabama at Birmingham,Alabama,AL,Public,4 Year,17110,31030,38200,69500,NA,23,29861.5,48186.36364,
20,Alabama State University,Alabama,AL,Public,4 Year,16490,24818,39800,71500,61,16,29861.5,48186.36364,
22,University of Montevallo,Alabama,AL,Public,4 Year,22090,35110,40600,74100,77,7,29861.5,48186.36364,
12,Jacksonville State University,Alabama,AL,Public,4 Year,18525,28245,41700,74600,67,16,29861.5,48186.36364,
21,Faulkner University,Alabama,AL,Private,4 Year,29440,29440,42900,74100,53,7,29861.5,48186.36364,
9,University of South Alabama,Alabama,AL,Public,4 Year,17490,27360,44400,78200,64,6,29861.5,48186.36364,
13,Auburn University at Montgomery,Alabama,AL,Public,4 Year,17268,29028,45000,79600,61,12,29861.5,48186.36364,
15,Athens State University,Alabama,AL,Public,4 Year,6810,12870,45000,78800,51,9,29861.5,48186.36364,
19,University of Mobile,Alabama,AL,Private,4 Year,32420,32420,48500,89100,55,12,29861.5,48186.36364,
2,University of Alabama in Huntsville,Alabama,AL,Public,4 Year,20808,32456,48600,87200,57,17,29861.5,48186.36364,
14,Huntingdon College,Alabama,AL,Private,4 Year,37150,37150,49200,90900,51,18,29861.5,48186.36364,
18,University of North Alabama,Alabama,AL,Public,4 Year,19570,27880,49900,91600,55,23,29861.5,48186.36364,
6,Spring Hill College,Alabama,AL,Private,4 Year,52926,52926,50200,85400,52,24,29861.5,48186.36364,
15,Oakwood University,Alabama,AL,Private,4 Year,26032,26032,51300,93300,49,19,29861.5,48186.36364,
5,Samford University,Alabama,AL,Private,4 Year,42200,42200,53000,93900,50,6,29861.5,48186.36364,
17,University of West Alabama,Alabama,AL,Public,4 Year,18156,26606,53200,99400,50,22,29861.5,48186.36364,
1,Auburn University,Alabama,AL,Public,4 Year,24608,43856,54400,104500,51,31,29861.5,48186.36364,
11,Troy University,Alabama,AL,Public,4 Year,20645,31060,54900,102900,46,27,29861.5,48186.36364,
4,Tuskegee University,Alabama,AL,Private,4 Year,31820,31820,65200,118100,49,25,29861.5,48186.36364,
23,Judson College,Alabama,AL,Private,4 Year,29100,29100,67200,117100,57,31,29861.5,48186.36364,
3,Millsaps College,Mississippi,AL,Private,4 Year,18646,18646,41200,74900,63,5,29861.5,48186.36364,
18,Central Baptist College,Arkansas,AR,Private,4 Year,23700,23700,36900,68000,NA,3,28629.1875,47150,85293.75
14,University of the Ozarks,Arkansas,AR,Private,4 Year,31630,31630,39800,73800,63,8,28629.1875,47150,
3,University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,8197,15973,40500,70500,67,22,28629.1875,47150,
2,Hendrix College,Arkansas,AR,Private,4 Year,58074,58074,42900,79800,57,5,28629.1875,47150,
17,University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,15723,21975,43500,78300,61,2,28629.1875,47150,
19,Philander Smith College,Arkansas,AR,Private,4 Year,20664,20664,44200,78000,51,4,28629.1875,47150,
13,Arkansas Tech University,Arkansas,AR,Public,4 Year,16938,23718,45000,76900,54,7,28629.1875,47150,
12,University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,14520,20370,45600,80800,55,13,28629.1875,47150,
15,Lyon College,Arkansas,AR,Private,4 Year,37920,37920,46100,85000,45,2,28629.1875,47150,
4,Harding University,Arkansas,AR,Private,4 Year,27179,27179,47500,85100,53,24,28629.1875,47150,
10,University of Central Arkansas,Arkansas,AR,Public,4 Year,15605,22128,49900,93600,59,31,28629.1875,47150,
10,Henderson State University,Arkansas,AR,Public,4 Year,15940,17590,52200,93500,56,15,28629.1875,47150,
7,University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,17896,30136,52500,98000,49,18,28629.1875,47150,
5,John Brown University,Arkansas,AR,Private,4 Year,36152,36152,55500,97600,86,1,28629.1875,47150,
1,University of Arkansas,Arkansas,AR,Public,4 Year,20150,36188,56100,101000,51,23,28629.1875,47150,
8,Ouachita Baptist University,Arkansas,AR,Private,4 Year,34670,34670,56200,104800,53,34,28629.1875,47150,
5,Arizona Christian University,Arizona,AZ,Private,4 Year,37470,37470,42600,76600,NA,7,40425.25,53250,94500
7,Prescott College,Arizona,AZ,Private,4 Year,39185,39185,48800,89900,57,14,40425.25,53250,
2,University of Arizona,Arizona,AZ,Public,4 Year,25037,48936,59100,101800,54,20,40425.25,53250,
4,Northern Arizona University,Arizona,AZ,Public,4 Year,21846,36110,62500,109700,46,40,40425.25,53250,
13,Pomona College,California,CA,Private,4 Year,69496,69496,47000,82200,50,6,57266.46667,56713.33333,101773.3333
11,University of Southern California,California,CA,Private,4 Year,71620,71620,47500,87900,56,8,57266.46667,56713.33333,
17,San Jose State University,California,CA,Public,4 Year,24238,33742,48400,90500,52,3,57266.46667,56713.33333,
1,Harvey Mudd College,California,CA,Private,4 Year,75003,75003,49200,88600,47,10,57266.46667,56713.33333,
21,Saint Mary's College of California,California,CA,Private,4 Year,62650,62650,49700,89300,54,15,57266.46667,56713.33333,
25,University of San Diego,California,CA,Private,4 Year,62338,62338,49900,88800,63,9,57266.46667,56713.33333,
4,Stanford University,California,CA,Private,4 Year,67117,67117,52900,95300,61,17,57266.46667,56713.33333,
20,Menlo College,California,CA,Private,4 Year,57025,57025,54800,92700,88,6,57266.46667,56713.33333,
23,University of San Francisco,California,CA,Private,4 Year,62896,62896,58900,109400,48,12,57266.46667,56713.33333,
6,Santa Clara University,California,CA,Private,4 Year,66621,66621,63000,114700,53,28,57266.46667,56713.33333,
9,Claremont McKenna College,California,CA,Private,4 Year,71110,71110,68500,125400,43,16,57266.46667,56713.33333,
5,Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,17440,17440,78300,135700,NA,3,57266.46667,56713.33333,
3,California Institute of Technology,California,CA,Private,4 Year,67887,67887,84100,151600,53,97,57266.46667,56713.33333,
25,Lindsey Wilson College,Kentucky,CA,Private,4 Year,11040,11040,45100,78500,48,9,57266.46667,56713.33333,
5,Loyola University Maryland,Maryland,CA,Private,4 Year,63012,63012,53400,96000,45,15,57266.46667,56713.33333,
16,Adams State University,Colorado,CO,Public,4 Year,18222,29238,44400,81400,56,3,39578.42857,52578.57143,94635.71429
14,Western State Colorado University,Colorado,CO,Public,4 Year,19749,31221,44500,79300,50,5,39578.42857,52578.57143,
19,Nazarene Bible College,Colorado,CO,Private,4 Year,14700,14700,44800,79900,56,9,39578.42857,52578.57143,
13,Fort Lewis College,Colorado,CO,Public,4 Year,18918,29574,45100,79300,64,6,39578.42857,52578.57143,
17,Colorado Christian University,Colorado,CO,Private,4 Year,43712,43712,46800,80100,70,2,39578.42857,52578.57143,
12,University of Northern Colorado,Colorado,CO,Public,4 Year,20990,32678,47300,85600,51,8,39578.42857,52578.57143,
14,Colorado Mesa University,Colorado,CO,Public,4 Year,20168,33365,47800,81500,55,7,39578.42857,52578.57143,
