rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
16,Adams State University,Colorado,CO,Public,4 Year,18222,29238,44400,81400,56,3,#CD853F,62%,55%,
14,Adventist University of Health Sciences,Florida,FL,Private,4 Year,19350,19350,51600,89800,88,5,#4169E1,100%,57%,
14,Agnes Scott College,Georgia,GA,Private,4 Year,53490,53490,46000,83600,57,26,#4169E1,100%,55%,
20,Alabama State University,Alabama,AL,Public,4 Year,16490,24818,39800,71500,61,16,#CD853F,66%,56%,
3,Alaska Pacific University,Alaska,AK,Private,4 Year,28130,28130,50300,90000,67,6,#4169E1,100%,56%,
1,Albany College of Pharmacy and Health Sciences,New-York,NY,Private,4 Year,46025,46025,81000,144800,82,2,#4169E1,100%,56%,
18,Albertus Magnus College,Connecticut,CT,Private,4 Year,45260,45260,49700,85900,62,2,#4169E1,100%,58%,
7,Albion College,Michigan,MI,Private,4 Year,58155,58155,52100,99300,44,23,#4169E1,100%,52%,
10,Alcorn State University,Mississippi,MS,Public,4 Year,16752,16752,40900,69500,67,19,#CD853F,100%,59%,
5,Allen College,Iowa,IA,Private,4 Year,27252,27252,51600,91300,NA,0,#4169E1,100%,57%,
15,Alma College,Michigan,MI,Private,4 Year,51256,51256,48400,89900,52,15,#4169E1,100%,54%,
24,Amberton University,Texas,TX,Private,4 Year,12840,12840,52800,93600,57,0,#4169E1,100%,56%,
10,Amherst College,Massachusetts,MA,Private,4 Year,71166,71166,63800,116500,45,32,#4169E1,100%,55%,
24,Amridge University,Alabama,AL,Private,4 Year,6900,6900,35700,65900,NA,0,#4169E1,100%,54%,
21,Andrews University,Michigan,MI,Private,4 Year,41906,41906,47600,85000,51,7,#4169E1,100%,56%,
15,Appalachian State University,North-Carolina,TN,Private,4 Year,15518,30325,46600,82700,47,9,#4169E1,51%,56%,
5,Arizona Christian University,Arizona,AZ,Private,4 Year,37470,37470,42600,76600,NA,7,#4169E1,100%,56%,
13,Arkansas Tech University,Arkansas,AR,Public,4 Year,16938,23718,45000,76900,54,7,#CD853F,71%,59%,
16,Armstrong State University,Georgia,GA,Public,4 Year,17769,31251,46600,81500,60,10,#CD853F,57%,57%,
20,Asbury University,Kentucky,KY,Private,4 Year,37358,37358,39400,70800,59,4,#4169E1,100%,56%,
15,Athens State University,Alabama,AL,Public,4 Year,6810,12870,45000,78800,51,9,#CD853F,53%,57%,
1,Auburn University,Alabama,AL,Public,4 Year,24608,43856,54400,104500,51,31,#CD853F,56%,52%,
13,Auburn University at Montgomery,Alabama,AL,Public,4 Year,17268,29028,45000,79600,61,12,#CD853F,59%,57%,
12,Augsburg University,Minnesota,MN,Private,4 Year,49080,49080,50500,91000,52,11,#4169E1,100%,55%,
13,Augusta University,Georgia,GA,Public,4 Year,20398,39436,47000,84400,69,10,#CD853F,52%,56%,
3,Augustana University,South-Dakota,SD,Private,4 Year,41266,41266,47900,88400,54,18,#4169E1,100%,54%,
20,Austin Peay State University,Tennessee,TN,Public,4 Year,19111,35167,44200,78200,63,10,#CD853F,54%,57%,
17,Avila University,Missouri,MO,Private,4 Year,27100,27100,45900,81200,68,3,#4169E1,100%,57%,
4,Babson College,Massachusetts,MA,Private,4 Year,67416,67416,72000,133800,37,0,#4169E1,100%,54%,
10,Baker University,Kansas,KS,Private,4 Year,38240,38240,47800,84200,55,2,#4169E1,100%,57%,
22,Ball State University,Indiana,IN,Public,4 Year,20130,36702,45600,83700,48,7,#CD853F,55%,54%,
19,Barnard College,New-York,NY,Private,4 Year,72257,72257,59200,109800,57,19,#4169E1,100%,54%,
24,Barry University,Florida,FL,Private,4 Year,40950,40950,47400,84400,66,12,#4169E1,100%,56%,
24,Barton College,North-Carolina,NC,Private,4 Year,41000,41000,42400,77900,62,6,#4169E1,100%,54%,
22,Bastyr University,Washington,WA,Private,4 Year,33756,33756,48400,86300,NA,0,#4169E1,100%,56%,
3,Bates College,Maine,ME,Private,4 Year,69018,69018,59500,111900,50,23,#4169E1,100%,53%,
12,Baylor University,Texas,TX,Private,4 Year,58322,58322,55500,101400,49,16,#4169E1,100%,55%,
7,Belhaven University,Mississippi,MS,Private,4 Year,33800,33800,41200,74300,60,2,#4169E1,100%,55%,
3,Bellarmine University,Kentucky,KY,Private,4 Year,54450,54450,49000,90700,54,11,#4169E1,100%,54%,
18,Bellevue College,Washington,WA,Public,2 Year,4258,9689,50100,88500,56,14,#CD853F,44%,57%,
10,Bellevue University,Nebraska,NE,Private,4 Year,18120,18120,49400,84800,57,23,#4169E1,100%,58%,
6,Bellin College,Wisconsin,WI,Private,4 Year,22178,22178,55800,97600,94,0,#4169E1,100%,57%,
14,Belmont Abbey College,North-Carolina,NC,Private,4 Year,28855,28855,46700,82900,49,7,#4169E1,100%,56%,
17,Belmont University,Tennessee,TN,Private,4 Year,46430,46430,47300,80900,47,3,#4169E1,100%,58%,
17,Beloit College,Wisconsin,WI,Private,4 Year,58870,58870,47400,85700,59,24,#4169E1,100%,55%,
24,Benedict College,South-Carolina,SC,Private,4 Year,22800,22800,38100,67500,61,19,#4169E1,100%,56%,
3,Benedictine College,Kansas,KS,Private,4 Year,39830,39830,48700,91800,69,13,#4169E1,100%,53%,
6,Bennington College,Vermont,VT,Private,4 Year,69970,69970,48800,90000,50,5,#4169E1,100%,54%,
9,Bentley University,Massachusetts,MA,Private,4 Year,66200,66200,66600,116600,36,7,#4169E1,100%,57%,
19,Berea College,Kentucky,KY,Private,4 Year,46754,46754,39500,71600,53,27,#4169E1,100%,55%,
12,Berry College,Georgia,GA,Private,4 Year,49326,49326,44900,84900,44,21,#4169E1,100%,53%,
10,Black Hills State University,South-Dakota,SD,Public,4 Year,15711,18756,40400,72600,51,11,#CD853F,84%,56%,
23,Bloomfield College,New-Jersey,NJ,Private,4 Year,41500,41500,48400,89100,55,17,#4169E1,100%,54%,
15,Bluefield State College,West-Virginia,WV,Public,4 Year,8820,16920,43200,72800,60,3,#CD853F,52%,59%,
4,Boise State University,Idaho,ID,Public,4 Year,18386,34468,50100,86400,55,14,#CD853F,53%,58%,
11,Boston College,Massachusetts,MA,Private,4 Year,69942,69942,63600,115400,43,13,#4169E1,100%,55%,
13,Boston University,Massachusetts,MA,Private,4 Year,69668,69668,61400,113600,43,25,#4169E1,100%,54%,
2,Bowdoin College,Maine,ME,Private,4 Year,68620,68620,61300,112000,54,37,#4169E1,100%,55%,
18,Bowie State University,Maryland,MD,Public,4 Year,19137,29777,50300,89900,65,11,#CD853F,64%,56%,
6,Bradley University,Illinois,IL,Private,4 Year,44380,44380,55600,104900,46,38,#4169E1,100%,53%,
14,Brandeis University,Massachusetts,MA,Private,4 Year,70835,70835,60600,113200,48,29,#4169E1,100%,54%,
10,Brescia University,Kentucky,KY,Private,4 Year,31600,31600,44300,81200,53,7,#4169E1,100%,55%,
1,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,12146,12146,51700,93900,57,12,#4169E1,100%,55%,
2,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,8710,8710,53700,93500,59,14,#4169E1,100%,57%,
1,Brown University,Rhode-Island,RI,Private,4 Year,70326,70326,68200,127600,45,43,#4169E1,100%,53%,
2,Bryant University,Rhode-Island,RI,Private,4 Year,59675,59675,60500,108600,37,8,#4169E1,100%,56%,
5,Bucknell University,Pennsylvania,PA,Private,4 Year,69754,69754,66700,122900,40,40,#4169E1,100%,54%,
7,Butler University,Indiana,IN,Private,4 Year,54950,54950,51800,99300,53,9,#4169E1,100%,52%,
3,California Institute of Technology,California,CA,Private,4 Year,67887,67887,84100,151600,53,97,#4169E1,100%,55%,
13,Calvin College,Michigan,MI,Private,4 Year,44800,44800,50200,91100,54,23,#4169E1,100%,55%,
11,Cameron University,Oklahoma,OK,Public,4 Year,11902,21322,43900,81500,54,14,#CD853F,56%,54%,
16,Campbell University,North-Carolina,NC,Private,4 Year,43930,43930,46300,82400,56,8,#4169E1,100%,56%,
24,Campbellsville University,Kentucky,KY,Private,4 Year,33400,33400,37600,66800,50,7,#4169E1,100%,56%,
2,Capitol Technology University,Maryland,MD,Private,4 Year,31136,31136,67400,118400,63,88,#4169E1,100%,57%,
20,Cardinal Stritch University,Wisconsin,WI,Private,4 Year,38438,38438,47000,82500,51,2,#4169E1,100%,57%,
1,Carleton College,Minnesota,MN,Private,4 Year,68844,68844,58800,109900,47,45,#4169E1,100%,54%,
1,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,69883,69883,75900,136100,45,66,#4169E1,100%,56%,
3,Carroll College,Montana,MT,Private,4 Year,45366,45366,48200,91400,55,25,#4169E1,100%,53%,
16,Carroll University,Wisconsin,WI,Private,4 Year,41402,41402,45600,86500,49,14,#4169E1,100%,53%,
23,Carson-Newman University,Tennessee,TN,Private,4 Year,36710,36710,42700,76500,61,5,#4169E1,100%,56%,
18,Carthage College,Wisconsin,WI,Private,4 Year,55540,55540,48900,85400,48,17,#4169E1,100%,57%,
1,Case Western Reserve University,Ohio,OH,Private,4 Year,64232,64232,66600,117800,44,37,#4169E1,100%,57%,
11,Castleton University,Vermont,VT,Public,4 Year,22912,38920,41700,76200,52,6,#CD853F,59%,55%,
22,Catawba College,North-Carolina,NC,Private,4 Year,41008,41008,42500,78100,58,11,#4169E1,100%,54%,
10,Centenary College of Louisiana,Louisiana,LA,Private,4 Year,49980,49980,47000,88400,37,26,#4169E1,100%,53%,
18,Central Baptist College,Arkansas,AR,Private,4 Year,23700,23700,36900,68000,NA,3,#4169E1,100%,54%,
25,Central Christian College of Kansas,Kansas,KS,Private,4 Year,34960,34960,37100,66100,NA,2,#4169E1,100%,56%,
9,Central College,Iowa,IA,Private,4 Year,47575,47575,49000,88800,55,36,#4169E1,100%,55%,
12,Central Connecticut State University,Connecticut,CT,Public,4 Year,22792,34032,53100,93700,45,15,#CD853F,67%,57%,
